,Unnamed: 0,Article_ID,Instance_ID,Keyword,Statistics,Statistics Type,Association,Is Child,Is Human,Group Size,Nationality,Side_new,Full_Sent,Conflict_Year,Date,Source
17,17,ID_Past Conflicts_AJE_15,Cold Statistics_Prompt_Instance_ID_46,1.5 million residents,1.5 million,Number about Victims (Population under siege and deprivation),Residents of Gaza Strip,No,Yes,Many,Palestinian,Palestine,Gaza is densely populated. Its 1.5 million residents are already experiencing shortages in power and basic supplies due to the siege which is widely condemned by human rights movements as a collective punishment.,2008,28 December 2008,AJE
18,18,ID_Past Conflicts_AJE_16,Cold Statistics_Prompt_Instance_ID_49,more than 280 people have been killed,more than 280,Number about Deaths,Palestinian civilians (including police officers) in Gaza,No,Yes,Many,Palestinian,Palestine,Palestinian medics say that more than 280 people have been killed and more than 600 injured as Israel's bombing of the impoverished Gaza Strip continued for a second day.,2008,28 December 2008,AJE
19,19,ID_Past Conflicts_AJE_16,Cold Statistics_Prompt_Instance_ID_50,more than 600 injured,more than 600,Number about Injured,Palestinian civilians (including women and children) in Gaza,No,Yes,Many,Palestinian,Palestine,Palestinian medics say that more than 280 people have been killed and more than 600 injured as Israel's bombing of the impoverished Gaza Strip continued for a second day.,2008,28 December 2008,AJE
20,20,ID_Past Conflicts_AJE_16,Cold Statistics_Prompt_Instance_ID_51,"About 750,000 people who depend on food distribution by aid agencies have not been able to receive supplies","About 750,000",Number about Deprived of Food/Water/Shelter,Palestinian civilians dependent on aid in Gaza,No,Yes,Many,Palestinian,Palestine,"About 750,000 people who depend on food distribution by aid agencies have not been able to receive supplies because the agencies cannot operate due to the siege.",2008,28 December 2008,AJE
21,21,ID_Past Conflicts_AJE_16,Cold Statistics_Prompt_Instance_ID_52,Gaza's 1.5 million residents,1.5 million,Number about Victims (Population under siege/humanitarian crisis),All Gaza Strip residents,No,Yes,Many,Palestinian,Palestine,The United Nations Security Council urged an immediate halt to all military activities in the Gaza Strip and called for the humanitarian crisis faced by Gaza's 1.5 million residents to be addressed.,2008,28 December 2008,AJE
22,22,ID_Past Conflicts_AJE_16,Cold Statistics_Prompt_Instance_ID_54,At least one Israeli was killed and six others wounded,six,Number about Injured,Israeli civilians wounded in missile attacks,No,Yes,Many,Israeli,Israel,At least one Israeli was killed and six others wounded in retaliatory missile attacks by Palestinian fighters on Saturday.,2008,28 December 2008,AJE
23,23,ID_Past Conflicts_AJE_17,Cold Statistics_Prompt_Instance_ID_55,killed and injured hundreds of people,hundreds of people,Number about Victims (killed and injured),people in the Gaza Strip affected by Israeli air raids,No,Yes,Many,Palestinian,Palestine,"The White House has said that Hamas ""thugs"" were responsible for provoking the Israeli air raids that killed and injured hundreds of people in the Gaza Strip.",2008,29 December 2008,AJE
24,24,ID_Past Conflicts_AJE_18,Cold Statistics_Prompt_Instance_ID_56,almost 300 people have been killed,almost 300,Number about Deaths,people killed in Gaza,No,Yes,Many,Palestinian,Palestine,So far almost 300 people have been killed and hundreds more injured and there are growing fears of a ground attack after the Israeli army called up thousands of reservists and tanks massed along the Gaza border.,2008,29 December 2008,AJE
25,25,ID_Past Conflicts_AJE_18,Cold Statistics_Prompt_Instance_ID_57,hundreds more injured,hundreds,Number about Injured,people injured in Gaza,No,Yes,Many,Palestinian,Palestine,So far almost 300 people have been killed and hundreds more injured and there are growing fears of a ground attack after the Israeli army called up thousands of reservists and tanks massed along the Gaza border.,2008,29 December 2008,AJE
26,26,ID_Past Conflicts_AJE_18,Cold Statistics_Prompt_Instance_ID_58,several children are among the casualties,several,Number about Deaths and Injured (Children),children casualties in Gaza,Yes,Yes,Many,Palestinian,Palestine,Palestinian officials said several children are among the casualties while United Nations officials in New York said nine of its staff had been killed in the attacks.,2008,29 December 2008,AJE
27,27,ID_Past Conflicts_AJE_18,Cold Statistics_Prompt_Instance_ID_60,at least one person died and 42 others were injured,at least one died and 42 injured,Number about Deaths and Injured,people affected in Rafah tunnel strikes,No,Yes,Many,Palestinian,Palestine,"Ayman Mohyeldin, Al Jazeera's correspondent in Rafah, a town split in half by the border, said at least one person died and 42 others were injured in the strikes on the tunnels.",2008,29 December 2008,AJE
28,28,ID_Past Conflicts_AJE_18,Cold Statistics_Prompt_Instance_ID_62,We have 25 in very critical condition,25,Number about Critically Injured,wounded Palestinians in critical condition,No,Yes,Many,Palestinian,Palestine,"We have 25 in very critical condition, he said.",2008,29 December 2008,AJE
29,29,ID_Past Conflicts_AJE_19,Cold Statistics_Prompt_Instance_ID_64,killed,more than 280 people,Number about Deaths,people killed in Gaza raids,No,Yes,Many,Palestinian,Palestine,which have so far killed more than 280 people over the past two days.,2008,29 December 2008,AJE
30,30,ID_Past Conflicts_AJE_19,Cold Statistics_Prompt_Instance_ID_65,hundreds of wounded Palestinians,hundreds of wounded Palestinians,Number about Injured,wounded Palestinians seeking to enter Egypt for treatment,No,Yes,Many,Palestinian,Palestine,Egypt's foreign minister has also blamed Hamas for preventing hundreds of wounded Palestinians from entering Egypt via the Rafah crossing for treatment,2008,29 December 2008,AJE
31,31,ID_Past Conflicts_AJE_20,Cold Statistics_Prompt_Instance_ID_66,killed,more than 280 people,Number about Deaths,people killed by Israeli attacks in Gaza,No,Yes,Many,Palestinian,Palestine,The protesters held banners calling on the global body to put pressure on Israel to end the attacks that have killed more than 280 people.,2008,29 December 2008,AJE
32,32,ID_Past Conflicts_AJE_20,Cold Statistics_Prompt_Instance_ID_67,Palestinian refugees,"more than 400,000 Palestinian refugees",Number about Displaced Persons,Palestinian refugees living in Lebanon,No,Yes,Many,Palestinian,Palestine,"Lebanon is host to more than 400,000 Palestinian refugees living in 12 camps across the country.",2008,29 December 2008,AJE
33,33,ID_Past Conflicts_AJE_21,Cold Statistics_Prompt_Instance_ID_72,killed nearly 300 Palestinians,nearly 300,Number about Deaths,Palestinian civilians in Gaza,No,Yes,Many,Palestinian,Palestine,Israeli attack on Lebanon following raids on Gaza that have killed nearly 300 Palestinians.,2008,29 December 2008,AJE
34,34,ID_Past Conflicts_AJE_21,Cold Statistics_Prompt_Instance_ID_74,158 in Israel,158,Number about Deaths,People in Israel (likely civilians and combatants),No,Yes,Many,Israeli,Israel,"About 1,200 people died in Lebanon and 158 in Israel in that conflict.",2008,29 December 2008,AJE
35,35,ID_Past Conflicts_AJE_22,Cold Statistics_Prompt_Instance_ID_76,killed,more than 292 Palestinians,Number about Deaths,Palestinian civilians,No,Yes,Many,Palestinian,Palestine,The bombing raid started at dusk on Sunday on the second day of an operation which has so far killed more than 292 Palestinians and wounded more than 600.,2008,29 December 2008,AJE
36,36,ID_Past Conflicts_AJE_22,Cold Statistics_Prompt_Instance_ID_77,wounded,more than 600,Number about Injured,Palestinian civilians,No,Yes,Many,Palestinian,Palestine,The bombing raid started at dusk on Sunday on the second day of an operation which has so far killed more than 292 Palestinians and wounded more than 600.,2008,29 December 2008,AJE
37,37,ID_Past Conflicts_AJE_22,Cold Statistics_Prompt_Instance_ID_79,injured,42 others were injured,Number about Injured,People injured in tunnel strikes,No,Yes,Many,Palestinian (inferred from context),Palestine,"Ayman Mohyeldin, Al Jazeera's correspondent in Rafah, a town split in half by the border, said at least one person died and 42 others were injured in the strikes on the tunnels.",2008,29 December 2008,AJE
38,38,ID_Past Conflicts_AJE_22,Cold Statistics_Prompt_Instance_ID_81,very critical condition,25 in very critical condition,Number about Severely Injured,Wounded Palestinians,No,Yes,Many,Palestinian,Palestine,"We have 25 in very critical condition, he said.",2008,29 December 2008,AJE
39,39,ID_Past Conflicts_AJE_22,Cold Statistics_Prompt_Instance_ID_82,died,tens died on the way,Number about Deaths,Wounded Palestinians being transported,No,Yes,Many,Palestinian,Palestine,"We tried transporting them during the raids and tens died on the way, he said.",2008,29 December 2008,AJE
40,40,ID_Past Conflicts_AJE_22,Cold Statistics_Prompt_Instance_ID_83,transferred,five people had been transferred to Egypt,Number about Evacuated/Injured,Wounded Palestinians evacuated,No,Yes,Many,Palestinian,Palestine,"The director-general of al-Shifa hospital, Gaza's main hospital, told al Jazeera that five people had been transferred to Egypt.",2008,29 December 2008,AJE
41,41,ID_Past Conflicts_AJE_24,Cold Statistics_Prompt_Instance_ID_84,killed,at least 350 Palestinians,Statistics about Deaths,Palestinian civilians,No,Yes,Many,Palestinian,Palestine,"The raids carried out in Gaza have killed at least 350 Palestinians, and according to the Israeli government, were launched in response to rocket and mortar fire from the Hamas-ruled enclave.",2008,30 December 2008,AJE
42,42,ID_Past Conflicts_AJE_25,Cold Statistics_Prompt_Instance_ID_85,345 Palestinians have died,345,Number about Deaths,Palestinian civilians in Gaza,No,Yes,Many,Palestinian,Palestine,"At least 345 Palestinians have died in Gaza, local authorities say, after three days of heavy bombardment by Israel in response to rocket attacks on southern Israel which have left two Israelis dead.",2008,30 December 2008,AJE
43,43,ID_Past Conflicts_AJE_26,Cold Statistics_Prompt_Instance_ID_87,at least 345 Gazans have been killed,at least 345,Number about Deaths,Gazans killed in Israeli bombardment,No,Yes,Many,Palestinian,Palestine,"Palestinian medical sources say at least 345 Gazans have been killed and another 1,450 wounded in three consecutive days of Israeli bombardment in the heavily-populated territory.",2008,30 December 2008,AJE
44,44,ID_Past Conflicts_AJE_26,Cold Statistics_Prompt_Instance_ID_88,"another 1,450 wounded","1,450",Number about Injured,Gazans wounded in Israeli bombardment,No,Yes,Many,Palestinian,Palestine,"Palestinian medical sources say at least 345 Gazans have been killed and another 1,450 wounded in three consecutive days of Israeli bombardment in the heavily-populated territory.",2008,30 December 2008,AJE
45,45,ID_Past Conflicts_AJE_26,Cold Statistics_Prompt_Instance_ID_89,an Israeli Arab was killed and eight others wounded,eight,Number about Injured,Israeli Arabs wounded by missile strike in Ashkelon,No,Yes,Many,Israeli Arab,Israel,"On Monday, an Israeli Arab was killed and eight others wounded when one of the missiles hit a construction site in the city of Ashkelon.",2008,30 December 2008,AJE
46,46,ID_Past Conflicts_AJE_26,Cold Statistics_Prompt_Instance_ID_90,"at least 51 Palestinian civilians, including women and children, were confirmed to be among those killed",at least 51,"Number about Deaths (Civilians, including children)","Palestinian civilians, including women and children, killed in Gaza Strip",Yes,Yes,Many,Palestinian,Palestine,"The UN relief and works agency said on Monday that at least 51 Palestinian civilians, including women and children, were confirmed to be among those killed in the Gaza Strip.",2008,30 December 2008,AJE
47,47,ID_Past Conflicts_AJE_26,Cold Statistics_Prompt_Instance_ID_91,Four young girls from the same family in the northern town of Jabaliya and two young boy from Rafah were among those killed,Four young girls and two young boys (total 6),Number about Deaths (Children),Palestinian children killed in latest raids,Yes,Yes,Many,Palestinian,Palestine,"Four young girls from the same family in the northern town of Jabaliya and two young boy from Rafah were among those killed in the latest raids, Palestinian medics said.",2008,30 December 2008,AJE
48,48,ID_Past Conflicts_AJE_26,Cold Statistics_Prompt_Instance_ID_92,"more than 1,400 people injured","more than 1,400",Number about Injured,People injured in Gaza (hospital context),No,Yes,Many,Palestinian,Palestine,"Al Jazeera's Sherine Tadros said the situation at the Shifa hospital in Gaza City was chaotic as the territory's health system struggled to cope with the more than 1,400 people injured.",2008,30 December 2008,AJE
49,49,ID_Past Conflicts_AJE_27,Cold Statistics_Prompt_Instance_ID_93,"more than 1,400 wounded","more than 1,400",Number about Injured,wounded civilians in Gaza in recent days,No,Yes,Many,Palestinian,Palestine,"As well as more than three tonnes of aid, the Dignity was carrying three doctors to help treat the more than 1,400 wounded in recent days.",2008,30 December 2008,AJE
50,50,ID_Past Conflicts_AJE_28,Cold Statistics_Prompt_Instance_ID_94,at least 350 Palestinians dead,at least 350,Number about Deaths,Palestinian civilians,No,Yes,Many,Palestinian,Palestine,three days of air raids on the Gaza Strip that have left at least 350 Palestinians dead.,2008,30 December 2008,AJE
51,51,ID_Past Conflicts_AJE_28,Cold Statistics_Prompt_Instance_ID_95,at least 350 Palestinians have died,at least 350,Number about Deaths,Palestinian civilians,No,Yes,Many,Palestinian,Palestine,"At least 350 Palestinians have died in Gaza, local authorities say, after three days of heavy bombardment by Israel in what it says is a response to rocket attacks that have left at least three Israelis dead.",2008,30 December 2008,AJE
52,52,ID_Past Conflicts_AJE_28,Cold Statistics_Prompt_Instance_ID_96,at least three Israelis dead,at least three,Number about Deaths,Israeli civilians,No,Yes,Many,Israeli,Israel,in what it says is a response to rocket attacks that have left at least three Israelis dead.,2008,30 December 2008,AJE
53,53,ID_Past Conflicts_AJE_29,Cold Statistics_Prompt_Instance_ID_97,"More than 380 people have been killed, including at least 61 women and children","More than 380 people killed, including at least 61 women and children",Number about Deaths (Total and Subgroup: Women and Children),Palestinian civilians in Gaza (including women and children),Yes,Yes,Many,Palestinian,Palestine,"More than 380 people have been killed, including at least 61 women and children, in four consecutive days of Israeli bombardment and local hospitals are saying they are unable to cope with any more casualties.",2008,30 December 2008,AJE
54,54,ID_Past Conflicts_AJE_29,Cold Statistics_Prompt_Instance_ID_98,Four Israeli citizens have been killed by missiles fired from Palestinian positions,Four Israeli citizens killed,Number about Deaths (Israeli civilians),Israeli civilians,No,Yes,Many,Israeli,Israel,Four Israeli citizens have been killed by missiles fired from Palestinian positions since the Israeli offensive on Gaza began on Saturday.,2008,30 December 2008,AJE
55,55,ID_Past Conflicts_AJE_29,Cold Statistics_Prompt_Instance_ID_99,"More than 1,600 Palestinians have already been wounded in the assault","More than 1,600 Palestinians wounded",Number about Injured (Palestinian civilians),Palestinian civilians in Gaza,No,Yes,Many,Palestinian,Palestine,"More than 1,600 Palestinians have already been wounded in the assault and hospital are running out medicines and other products needed to treat them.",2008,30 December 2008,AJE
56,56,ID_Past Conflicts_AJE_31,Cold Statistics_Prompt_Instance_ID_106,around 350 people have been killed,around 350,Number about Deaths,"people killed in Gaza, many of them civilians",No,Yes,Many,Palestinian,Palestine,"With the Israeli assault entering its fourth straight day on Tuesday, around 350 people have been killed, many of them civilians, and local hospitals have warned they are unable to cope with any more casualties.",2008,30 December 2008,AJE
57,57,ID_Past Conflicts_AJE_31,Cold Statistics_Prompt_Instance_ID_107,at least 10 people had died,at least 10,Number about Deaths,"people killed in latest Israeli raids, including security guards and civilians",No,Yes,Many,Palestinian,Palestine,"Medical workers said at least 10 people had died in the latest raids, with security guards and civilians among those killed.",2008,30 December 2008,AJE
58,58,ID_Past Conflicts_AJE_31,Cold Statistics_Prompt_Instance_ID_108,rockets fired from Palestinian positions killed three Israelis,three,Number about Deaths,Israelis killed by Palestinian rocket fire,No,Yes,Many,Israeli,Israel,"The attacks came after rockets fired from Palestinian positions killed three Israelis, taking the death toll from Hamas rocket attacks to four since the Israeli offensive began on Saturday.",2008,30 December 2008,AJE
59,59,ID_Past Conflicts_AJE_31,Cold Statistics_Prompt_Instance_ID_109,death toll from Hamas rocket attacks to four,four,Number about Deaths,Israelis killed by Hamas rocket attacks since the offensive began,No,Yes,Many,Israeli,Israel,"The attacks came after rockets fired from Palestinian positions killed three Israelis, taking the death toll from Hamas rocket attacks to four since the Israeli offensive began on Saturday.",2008,30 December 2008,AJE
60,60,ID_Past Conflicts_AJE_31,Cold Statistics_Prompt_Instance_ID_111,"more than 1,400 people injured","more than 1,400",Number about Injured,people injured in Gaza,No,Yes,Many,Palestinian,Palestine,"Al Jazeera's Sherine Tadros reporting from the Shifa hospital in Gaza City said the situation was chaotic as the territory's health system struggled to cope with the more than 1,400 people injured.",2008,30 December 2008,AJE
61,61,ID_Past Conflicts_AJE_32,Cold Statistics_Prompt_Instance_ID_112,killed at least 360 Palestinians,at least 360,Number about Deaths,Palestinian civilians killed in Gaza by Israeli air attack,No,Yes,Many,Palestinian,Palestine,"Protests have been held across the Middle East against the four-day-Israeli air attack on Gaza, which has killed at least 360 Palestinians and wounded more than 1,600.",2008,30 December 2008,AJE
62,62,ID_Past Conflicts_AJE_32,Cold Statistics_Prompt_Instance_ID_113,"wounded more than 1,600","more than 1,600",Number about Injured,Palestinian civilians wounded in Gaza by Israeli air attack,No,Yes,Many,Palestinian,Palestine,"Protests have been held across the Middle East against the four-day-Israeli air attack on Gaza, which has killed at least 360 Palestinians and wounded more than 1,600.",2008,30 December 2008,AJE
63,63,ID_Past Conflicts_AJE_33,Cold Statistics_Prompt_Instance_ID_115,nearly 400 people dead,nearly 400,Number about Deaths,people killed in Gaza Strip aerial assault,No,Yes,Many,Palestinian,Palestine,Israel's security cabinet is to discuss international calls for a temporary ceasefire in the Gaza Strip after five days of an aerial assault that has left nearly 400 people dead.,2008,31 December 2008,AJE
64,64,ID_Past Conflicts_AJE_33,Cold Statistics_Prompt_Instance_ID_116,Four Israeli citizens have been killed,Four,Number about Deaths,Israeli citizens killed by rocket and mortar attacks,No,Yes,Many,Israeli,Israel,Four Israeli citizens have been killed in such attacks since the Israeli offensive began on Saturday.,2008,31 December 2008,AJE
65,65,ID_Past Conflicts_AJE_34,Cold Statistics_Prompt_Instance_ID_118,"393 Palestinians, including dozens of civilians, have been killed",393 killed,Number about Deaths,Palestinian civilians (including unspecified number of children and adults),No,Yes,Many,Palestinian,Palestine,"At least 393 Palestinians, including dozens of civilians, have been killed and about 1,600 injured as Israeli warplanes and helicopter gunships have dropped hundreds of bombs and missiles on the densely inhabited strip.",2008,31 December 2008,AJE
66,66,ID_Past Conflicts_AJE_34,Cold Statistics_Prompt_Instance_ID_119,"about 1,600 injured","about 1,600 injured",Number about Injured,Palestinian civilians (including unspecified number of children and adults),No,Yes,Many,Palestinian,Palestine,"At least 393 Palestinians, including dozens of civilians, have been killed and about 1,600 injured as Israeli warplanes and helicopter gunships have dropped hundreds of bombs and missiles on the densely inhabited strip.",2008,31 December 2008,AJE
67,67,ID_Past Conflicts_AJE_34,Cold Statistics_Prompt_Instance_ID_120,Four Israeli citizens have been killed,Four killed,Number about Deaths,Israeli civilians,No,Yes,Many,Israeli,Israel,Four Israeli citizens have been killed in rocket and mortar attacks from the Gaza Strip since Israel began its offensive on Saturday.,2008,31 December 2008,AJE
68,68,ID_Past Conflicts_AJE_35,Cold Statistics_Prompt_Instance_ID_121,more than 380 people dead,more than 380 people dead,Number about Deaths,Civilians in Gaza,No,Yes,Many,Palestinian,Palestine,after four days of Israeli bombardment that has left more than 380 people dead and warnings that worse it yet to come.,2008,31 December 2008,AJE
69,69,ID_Past Conflicts_AJE_35,Cold Statistics_Prompt_Instance_ID_122,"more than 380 people have been killed, including at least 61 women and children","more than 380 people killed, including at least 61 women and children",Number about Deaths (Total and Subgroup: Women and Children),Civilians in Gaza (including women and children),Yes,Yes,Many,Palestinian,Palestine,"In Gaza more than 380 people have been killed, including at least 61 women and childrena as a result of the Israeli bombardment nd local hospitals are saying they are unable to cope with any more casualties.",2008,31 December 2008,AJE
70,70,ID_Past Conflicts_AJE_35,Cold Statistics_Prompt_Instance_ID_123,four Israeli citizens have been killed,four Israeli citizens have been killed,Number about Deaths,Israeli civilians,No,Yes,Many,Israeli,Israel,In the same period four Israeli citizens have been killed by rockets fired from Palestinian positions.,2008,31 December 2008,AJE
71,71,ID_Past Conflicts_AJE_36,Cold Statistics_Prompt_Instance_ID_125,four people dead,four people dead,Number about Deaths,Palestinian civilians,No,Yes,Many,Palestinian,Palestine,Palestinian officials said the attacks left four people dead and at least 25 people injured.,2008,01 January 2009,AJE
72,72,ID_Past Conflicts_AJE_36,Cold Statistics_Prompt_Instance_ID_126,at least 25 people injured,at least 25 people injured,Number about Injured,Palestinian civilians,No,Yes,Many,Palestinian,Palestine,Palestinian officials said the attacks left four people dead and at least 25 people injured.,2008,01 January 2009,AJE
73,73,ID_Past Conflicts_AJE_36,Cold Statistics_Prompt_Instance_ID_127,total Palestinian death toll to around 400 - including many civilians,around 400,Number about Deaths,Palestinians (including many civilians),No,Yes,Many,Palestinian,Palestine,He said the overnight strikes brought the total Palestinian death toll to around 400 - including many civilians.,2008,01 January 2009,AJE
74,74,ID_Past Conflicts_AJE_36,Cold Statistics_Prompt_Instance_ID_128,"At least 1,600 Palestinians have been injured","At least 1,600",Number about Injured,Palestinian civilians,No,Yes,Many,Palestinian,Palestine,"At least 1,600 Palestinians have been injured as Israeli warplanes and helicopter gunships have dropped hundreds of bombs and missiles on the densely-populated strip.",2008,01 January 2009,AJE
75,75,ID_Past Conflicts_AJE_37,Cold Statistics_Prompt_Instance_ID_129,"393 Palestinians, including dozens of civilians, have been killed",393 killed,Number about Deaths (Victims),Palestinian civilians (including unspecified number of children and adults),"Possible (dozens of civilians may include children, but not explicitly stated)",Yes,Many,Palestinian,Palestine,"At least 393 Palestinians, including dozens of civilians, have been killed and about 1,600 injured as Israeli warplanes and helicopter gunships have dropped hundreds of bombs and missiles on the densely populated strip over the past five days.",2008,01 January 2009,AJE
76,76,ID_Past Conflicts_AJE_37,Cold Statistics_Prompt_Instance_ID_130,"about 1,600 injured","about 1,600 injured",Number about Injured (Victims),Palestinian civilians (including unspecified number of children and adults),"Possible (may include children, but not explicitly stated)",Yes,Many,Palestinian,Palestine,"At least 393 Palestinians, including dozens of civilians, have been killed and about 1,600 injured as Israeli warplanes and helicopter gunships have dropped hundreds of bombs and missiles on the densely populated strip over the past five days.",2008,01 January 2009,AJE
77,77,ID_Past Conflicts_AJE_39,Cold Statistics_Prompt_Instance_ID_137,killed nearly 400 Palestinians,nearly 400,Number about Deaths,Palestinian civilians,No,Yes,Many,Palestinian,Palestine,Israeli attacks on Gaza... the offensive that has killed nearly 400 Palestinians.,2008,01 January 2009,AJE
78,78,ID_Past Conflicts_AJE_39,Cold Statistics_Prompt_Instance_ID_138,390 Palestinian casualties,390,Number about Victims (Casualties),Palestinian civilians,No,Yes,Many,Palestinian,Palestine,"it shouldn't have taken 390 Palestinian casualties and 2,000 Palestinian injuries for the Arab ministers to get together.",2008,01 January 2009,AJE
79,79,ID_Past Conflicts_AJE_39,Cold Statistics_Prompt_Instance_ID_139,"2,000 Palestinian injuries","2,000",Number about Injured,Palestinian civilians,No,Yes,Many,Palestinian,Palestine,"it shouldn't have taken 390 Palestinian casualties and 2,000 Palestinian injuries for the Arab ministers to get together.",2008,01 January 2009,AJE
80,80,ID_Past Conflicts_AJE_40,Cold Statistics_Prompt_Instance_ID_140,death toll nearing 400,nearing 400,Statistics about Deaths,Palestinian civilians and combatants in Gaza,No,Yes,Many,Palestinian,Palestine,with the death toll nearing 400 and much of the territory in ruins.,2008,01 January 2009,AJE
81,81,ID_Past Conflicts_AJE_40,Cold Statistics_Prompt_Instance_ID_141,at least 25 people injured,at least 25,Number about Injured,People in Gaza (likely civilians),No,Yes,Many,Palestinian,Palestine,Palestinian officials said the attacks left at least 25 people injured.,2008,01 January 2009,AJE
